participant_id,video_id,recording_elegible,cam_allowed,azure_features,video_error,duration_recording,survey_duration,pre_quiz1,pre_quiz2,post_quiz1,post_quiz2,post_quiz3,post_quiz4,post_quiz5,post_quiz6,post_quiz7,post_quiz8,self_interest,self_boring,self_confusion,self_easy,demo_age,demo_gender,demo_race,demo_ethnicity,demo_marital_status,demo_education,demo_income,demo_employment,demo_industry,demo_country,demo_region,correct,correct_pre_quiz,correct_post_quiz,self_raw_anger,self_raw_contempt,self_raw_disgust,self_raw_fear,self_raw_happiness,self_raw_neutral,self_raw_sadness,self_raw_surprise,reported_emotions
6039820,27980,0,0.0,0.0,0,,872,b,a,c,a,b,d,d,c,c,a,7,1,1,7,b,a,g,c,a,d,h,a,l,IN,f,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
980600,27980,0,0.0,0.0,0,,831,a,c,a,b,b,a,b,c,c,b,3,5,2,4,b,b,c,b,a,e,a,a,F,TW,f,6,2,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7577844,13950,0,0.0,0.0,0,,709,a,c,b,d,b,a,b,a,b,b,4,5,5,3,b,a,a,b,a,e,h,e,q,CA,f,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
696584,13950,0,0.0,0.0,0,,625,a,a,b,a,b,a,d,a,d,b,4,5,5,3,a,a,c,b,a,e,f,a,F,US,e,7,1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9457124,13950,0,0.0,0.0,0,,717,b,c,b,d,b,a,b,d,b,d,4,4,4,5,a,a,c,c,b,e,g,e,r,US,d,6,1,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5698884,13950,0,0.0,0.0,0,,1657,b,b,b,c,b,d,b,a,a,b,4,4,6,3,b,a,c,c,a,b,a,h,F,ID,f,5,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
9046324,13950,0,0.0,0.0,0,,850,a,b,b,c,b,a,b,a,d,b,5,5,2,6,a,a,c,c,a,e,d,e,h,US,b,8,1,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4140124,13950,0,0.0,0.0,0,,554,a,c,b,b,b,a,b,a,d,b,5,2,3,4,b,a,c,b,b,d,b,e,n,US,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9669204,13950,0,0.0,0.0,0,,739,d,c,b,a,d,a,b,a,d,b,4,7,6,2,b,b,b,b,a,e,d,a,j,GB,f,7,1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3419924,13950,0,0.0,0.0,0,,717,b,a,d,b,a,d,a,a,c,d,4,3,5,4,a,b,b,b,a,a,h,e,x,NG,f,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6288244,13950,0,0.0,0.0,0,,538,b,a,b,a,d,b,d,b,c,c,2,7,6,2,b,d,g,c,f,e,a,e,k,US,b,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9062664,13950,0,0.0,0.0,0,,1064,a,c,b,b,b,a,b,b,c,b,6,2,2,6,d,a,a,c,a,e,d,e,q,US,b,7,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3736984,13950,0,0.0,0.0,0,,556,a,c,b,d,b,a,d,a,c,b,4,3,2,6,a,b,c,b,a,e,b,e,G,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4860684,13950,0,0.0,0.0,0,,807,a,c,b,b,b,a,a,a,d,b,6,2,2,5,b,b,c,b,a,e,g,e,k,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5549004,13950,0,0.0,0.0,0,,544,a,c,b,c,b,c,d,b,d,b,2,6,6,1,b,b,c,b,a,e,a,e,G,US,b,6,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
6415564,13950,0,0.0,0.0,0,,627,b,b,b,c,b,a,c,d,a,c,4,4,4,4,b,a,c,b,a,e,h,e,G,US,b,3,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5182304,13950,0,0.0,0.0,0,,1708,a,a,b,b,b,b,b,b,d,a,4,4,4,4,a,b,c,b,a,d,g,e,h,US,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2252376,19603,0,0.0,0.0,0,,793,a,c,b,b,b,a,b,a,d,a,5,4,3,5,a,b,c,b,a,e,h,e,G,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
1323076,19603,0,0.0,0.0,0,,531,a,c,b,b,b,b,a,b,a,b,2,3,3,3,a,a,c,b,a,d,c,c,j,US,b,5,2,3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
3145356,19603,0,0.0,0.0,0,,867,a,c,b,b,b,a,d,a,d,b,6,2,2,6,b,a,c,b,a,e,a,e,y,TH,f,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2314336,19603,0,0.0,0.0,0,,867,d,c,b,a,b,a,b,a,d,b,7,1,1,5,b,a,c,b,a,d,a,c,h,US,b,8,1,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
3305696,19603,0,0.0,0.0,0,,929,a,a,b,b,b,c,d,a,a,b,6,2,3,5,b,a,c,b,a,e,b,e,y,US,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
37696,19603,0,0.0,0.0,0,,2690,a,c,b,d,b,a,b,a,b,b,7,2,2,6,a,b,c,b,a,e,e,e,n,US,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8997796,19603,0,0.0,0.0,0,,534,a,c,b,c,b,a,d,a,d,b,7,1,1,7,b,b,c,b,a,d,a,e,r,US,b,8,2,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8838056,19603,0,0.0,0.0,0,,621,a,c,b,d,b,a,c,a,d,b,7,1,1,7,b,a,c,b,a,e,g,e,j,00,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1345216,19603,0,0.0,0.0,0,,1341,a,c,b,c,b,a,d,b,b,b,6,1,4,6,a,a,c,b,a,d,a,e,l,US,b,6,2,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2365930,22804,0,0.0,0.0,0,,842,a,a,c,b,d,a,b,a,d,a,1,7,5,1,b,a,c,b,a,d,h,a,E,TH,f,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
8757990,22804,0,0.0,0.0,0,,1062,a,c,b,d,b,a,d,a,b,a,6,4,2,6,b,b,c,b,a,e,a,e,k,US,b,7,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6326950,22804,0,0.0,0.0,0,,627,a,a,a,a,a,a,a,a,a,a,7,1,1,7,b,a,c,b,a,e,a,e,h,US,b,3,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3154150,22804,0,0.0,0.0,0,,437,a,b,b,b,b,b,b,b,b,b,6,2,2,6,a,b,c,b,a,d,g,e,j,US,b,5,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8772530,22804,0,0.0,0.0,0,,2197,a,a,b,d,b,a,a,a,d,a,6,2,4,4,a,a,c,b,a,d,g,e,h,US,a,7,1,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2409510,22804,0,0.0,0.0,0,,2203,a,c,b,b,b,a,b,a,c,b,3,3,2,5,b,b,c,b,a,d,a,e,G,US,b,8,2,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1228830,22804,0,0.0,0.0,0,,996,a,c,b,b,b,a,b,a,d,b,6,3,5,6,b,a,c,b,a,d,a,e,l,US,b,9,2,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9355890,22804,0,0.0,0.0,0,,733,a,a,b,d,b,a,d,a,a,d,5,5,5,5,b,a,c,b,a,e,b,e,l,US,e,6,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4222730,22804,0,0.0,0.0,0,,905,a,c,b,b,b,a,a,b,d,b,5,4,4,3,b,b,c,b,a,e,d,a,t,--,e,7,2,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
743770,22804,0,0.0,0.0,0,,491,b,c,b,d,a,c,c,b,d,b,3,6,7,7,b,d,g,b,b,e,c,c,h,US,c,5,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1995910,22804,0,0.0,0.0,0,,574,b,b,b,b,b,a,c,c,c,c,4,4,4,4,a,d,g,c,a,e,g,e,a,US,b,3,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
